locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCDJCBPM_00001	gene	1890	mnmG			
FCDJCBPM_00001	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
FCDJCBPM_00002	gene	621	rsmG			
FCDJCBPM_00002	CDS	621	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
FCDJCBPM_00003	gene	381	atpI			
FCDJCBPM_00003	CDS	381	atpI		COG3312	ATP synthase protein I
FCDJCBPM_00004	gene	819	atpB			
FCDJCBPM_00004	CDS	819	atpB		COG0356	ATP synthase subunit a
FCDJCBPM_00005	gene	240	atpE			
FCDJCBPM_00005	CDS	240	atpE		COG0636	ATP synthase subunit c
FCDJCBPM_00006	gene	471	atpF			
FCDJCBPM_00006	CDS	471	atpF		COG0711	ATP synthase subunit b
FCDJCBPM_00007	gene	534	atpH			
FCDJCBPM_00007	CDS	534	atpH		COG0712	ATP synthase subunit delta
FCDJCBPM_00008	gene	1542	atpA			
FCDJCBPM_00008	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
FCDJCBPM_00009	gene	864	atpG			
FCDJCBPM_00009	CDS	864	atpG		COG0224	ATP synthase gamma chain
FCDJCBPM_00010	gene	1383	atpD			
FCDJCBPM_00010	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
FCDJCBPM_00011	gene	423	atpC			
FCDJCBPM_00011	CDS	423	atpC		COG0355	ATP synthase epsilon chain
FCDJCBPM_00012	gene	1377	glmU			
FCDJCBPM_00012	CDS	1377	glmU			Bifunctional protein GlmU
FCDJCBPM_00013	gene	1833	glmS			
FCDJCBPM_00013	CDS	1833	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
FCDJCBPM_00014	gene	1194				
FCDJCBPM_00014	CDS	1194				hypothetical protein
FCDJCBPM_00015	gene	1041	pstS_1			
FCDJCBPM_00015	CDS	1041	pstS_1		COG0226	Phosphate-binding protein PstS
FCDJCBPM_00016	gene	960	pstC			
FCDJCBPM_00016	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
FCDJCBPM_00017	gene	894	pstA			
FCDJCBPM_00017	CDS	894	pstA		COG0581	Phosphate transport system permease protein PstA
FCDJCBPM_00018	gene	777	pstB			
FCDJCBPM_00018	CDS	777	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
FCDJCBPM_00019	gene	738	phoU			
FCDJCBPM_00019	CDS	738	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
FCDJCBPM_00020	gene	684	yieH_1			
FCDJCBPM_00020	CDS	684	yieH_1	3.1.3.-	COG0637	6-phosphogluconate phosphatase
FCDJCBPM_00021	gene	435	manX_1			
FCDJCBPM_00021	CDS	435	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
FCDJCBPM_00022	gene	894	manZ_1			
FCDJCBPM_00022	CDS	894	manZ_1		COG3716	PTS system mannose-specific EIID component
FCDJCBPM_00023	gene	768	agaC_1			
FCDJCBPM_00023	CDS	768	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
FCDJCBPM_00024	gene	483	sorB			
FCDJCBPM_00024	CDS	483	sorB	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
FCDJCBPM_00025	gene	1200	agaS_1			
FCDJCBPM_00025	CDS	1200	agaS_1	3.5.99.-	COG2222	D-galactosamine-6-phosphate deaminase AgaS
FCDJCBPM_00026	gene	774	srlR_1			
FCDJCBPM_00026	CDS	774	srlR_1		COG1349	Glucitol operon repressor
FCDJCBPM_00027	gene	1206				
FCDJCBPM_00027	CDS	1206				hypothetical protein
FCDJCBPM_00028	gene	1503	proP_1			
FCDJCBPM_00028	CDS	1503	proP_1			Proline/betaine transporter
FCDJCBPM_00029	gene	1290	arsB			
FCDJCBPM_00029	CDS	1290	arsB		COG1055	Arsenical pump membrane protein
FCDJCBPM_00030	gene	1368	sauU			
FCDJCBPM_00030	CDS	1368	sauU			putative sulfoacetate transporter SauU
FCDJCBPM_00031	gene	702				
FCDJCBPM_00031	CDS	702		3.5.2.20	COG1878	Isatin hydrolase
FCDJCBPM_00032	gene	1011	rspB			
FCDJCBPM_00032	CDS	1011	rspB	1.1.1.-	COG1063	Starvation-sensing protein RspB
FCDJCBPM_00033	gene	1287	exuT_1			
FCDJCBPM_00033	CDS	1287	exuT_1			Hexuronate transporter
FCDJCBPM_00034	gene	1473	por_1			
FCDJCBPM_00034	CDS	1473	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
FCDJCBPM_00035	gene	687	rspR_1			
FCDJCBPM_00035	CDS	687	rspR_1		COG1802	HTH-type transcriptional repressor RspR
FCDJCBPM_00036	gene	240				
FCDJCBPM_00036	CDS	240				hypothetical protein
FCDJCBPM_00037	gene	759				
FCDJCBPM_00037	CDS	759				hypothetical protein
FCDJCBPM_00038	gene	990	cdhR_1			
FCDJCBPM_00038	CDS	990	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
FCDJCBPM_00039	gene	984	prmC_1			
FCDJCBPM_00039	CDS	984	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
FCDJCBPM_00040	gene	381				
FCDJCBPM_00040	CDS	381				hypothetical protein
FCDJCBPM_00041	gene	1053	hisC_1			
FCDJCBPM_00041	CDS	1053	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
FCDJCBPM_00042	gene	1314	mdtK_1			
FCDJCBPM_00042	CDS	1314	mdtK_1			Multidrug resistance protein MdtK
FCDJCBPM_00043	gene	1245	gshAB			
FCDJCBPM_00043	CDS	1245	gshAB	6.3.2.3		Glutathione biosynthesis bifunctional protein GshAB
FCDJCBPM_00044	gene	906	cpo			
FCDJCBPM_00044	CDS	906	cpo	1.11.1.10		Non-heme chloroperoxidase
FCDJCBPM_00045	gene	384				
FCDJCBPM_00045	CDS	384				hypothetical protein
FCDJCBPM_00046	gene	528				
FCDJCBPM_00046	CDS	528			COG1733	putative HTH-type transcriptional regulator
FCDJCBPM_00047	gene	1272	fabF_1			
FCDJCBPM_00047	CDS	1272	fabF_1	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
FCDJCBPM_00048	gene	2004	manR_1			
