locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCDJCBPM_00001	gene	1890	mnmG			
FCDJCBPM_00002	gene	621	rsmG			
FCDJCBPM_00003	gene	381	atpI			
FCDJCBPM_00004	gene	819	atpB			
FCDJCBPM_00005	gene	240	atpE			
FCDJCBPM_00006	gene	471	atpF			
FCDJCBPM_00007	gene	534	atpH			
FCDJCBPM_00008	gene	1542	atpA			
FCDJCBPM_00009	gene	864	atpG			
FCDJCBPM_00010	gene	1383	atpD			
FCDJCBPM_00011	gene	423	atpC			
FCDJCBPM_00012	gene	1377	glmU			
FCDJCBPM_00013	gene	1833	glmS			
FCDJCBPM_00014	gene	1194				
FCDJCBPM_00015	gene	1041	pstS_1			
FCDJCBPM_00016	gene	960	pstC			
FCDJCBPM_00017	gene	894	pstA			
FCDJCBPM_00018	gene	777	pstB			
FCDJCBPM_00019	gene	738	phoU			
FCDJCBPM_00020	gene	684	yieH_1			
FCDJCBPM_00021	gene	435	manX_1			
FCDJCBPM_00022	gene	894	manZ_1			
FCDJCBPM_00023	gene	768	agaC_1			
FCDJCBPM_00024	gene	483	sorB			
FCDJCBPM_00025	gene	1200	agaS_1			
FCDJCBPM_00026	gene	774	srlR_1			
FCDJCBPM_00027	gene	1206				
FCDJCBPM_00028	gene	1503	proP_1			
FCDJCBPM_00029	gene	1290	arsB			
FCDJCBPM_00030	gene	1368	sauU			
FCDJCBPM_00031	gene	702				
FCDJCBPM_00032	gene	1011	rspB			
FCDJCBPM_00033	gene	1287	exuT_1			
FCDJCBPM_00034	gene	1473	por_1			
FCDJCBPM_00035	gene	687	rspR_1			
FCDJCBPM_00036	gene	240				
FCDJCBPM_00037	gene	759				
FCDJCBPM_00038	gene	990	cdhR_1			
FCDJCBPM_00039	gene	984	prmC_1			
FCDJCBPM_00040	gene	381				
FCDJCBPM_00041	gene	1053	hisC_1			
FCDJCBPM_00042	gene	1314	mdtK_1			
FCDJCBPM_00043	gene	1245	gshAB			
FCDJCBPM_00044	gene	906	cpo			
FCDJCBPM_00045	gene	384				
FCDJCBPM_00046	gene	528				
FCDJCBPM_00047	gene	1272	fabF_1			
FCDJCBPM_00048	gene	2004	manR_1			
FCDJCBPM_00049	gene	258	ptsH_1			
FCDJCBPM_00050	gene	447	mngA			
FCDJCBPM_00051	gene	315	frwD_1			
FCDJCBPM_00052	gene	1077	fruA_1			
FCDJCBPM_00053	gene	1719	ptsI_1			
FCDJCBPM_00054	gene	861	gatY_1			
FCDJCBPM_00055	gene	408	allA			
FCDJCBPM_00056	gene	1251	phnA			
FCDJCBPM_00057	gene	810	phnE			
FCDJCBPM_00058	gene	771	phnC			
FCDJCBPM_00059	gene	882				
FCDJCBPM_00060	gene	675	rspR_2			
FCDJCBPM_00061	gene	564	hxlB			
FCDJCBPM_00062	gene	642				
FCDJCBPM_00063	gene	1002	dhaK_1			
FCDJCBPM_00064	gene	666	dhaL_1			
FCDJCBPM_00065	gene	1140	mtlD_1			
FCDJCBPM_00066	gene	816	manZ_2			
FCDJCBPM_00067	gene	738	sorA_1			
FCDJCBPM_00068	gene	498	manX_2			
FCDJCBPM_00069	gene	423	manX_3			
FCDJCBPM_00070	gene	807	fabG2_1			
FCDJCBPM_00071	gene	2637	dgaR_1			
FCDJCBPM_00072	gene	1365	mnmE			
FCDJCBPM_00073	gene	1644	yidC			
FCDJCBPM_00074	gene	786	rnpA			
FCDJCBPM_00075	gene	1395	dnaA			
FCDJCBPM_00076	gene	1101	dnaN			
FCDJCBPM_00077	gene	1095	recF_1			
FCDJCBPM_00078	gene	2415	gyrB			
FCDJCBPM_00079	gene	843	yidA			
FCDJCBPM_00080	gene	699	lutR_1			
FCDJCBPM_00081	gene	894	dgoK1			
FCDJCBPM_00082	gene	621	dgoA			
FCDJCBPM_00083	gene	1125				
FCDJCBPM_00084	gene	1149	dgoD_1			
FCDJCBPM_00085	gene	1296	dgoT_1			
FCDJCBPM_00086	gene	1902				
FCDJCBPM_00087	gene	285				
FCDJCBPM_00088	gene	414	ibpA			
FCDJCBPM_00089	gene	456	ibpB			
FCDJCBPM_00090	gene	1287	avtA			
FCDJCBPM_00091	gene	1002				
FCDJCBPM_00092	gene	981	ghrB_1			
FCDJCBPM_00093	gene	453				
FCDJCBPM_00094	gene	915	glyQ			
FCDJCBPM_00095	gene	2070	glyS			
FCDJCBPM_00096	gene	726				
FCDJCBPM_00097	gene	1926	mtlA			
FCDJCBPM_00098	gene	1149	mtlD_2			
FCDJCBPM_00099	gene	588	mtlR			
FCDJCBPM_00100	gene	618	sodA			
FCDJCBPM_00101	gene	828	fdhD			
FCDJCBPM_00102	gene	603				
FCDJCBPM_00103	gene	642	yibF_1			
FCDJCBPM_00104	gene	1539	aldB			
FCDJCBPM_00105	gene	1245	mdfA			
FCDJCBPM_00106	gene	1011	wecH_1			
FCDJCBPM_00107	gene	927	cdhR_2			
FCDJCBPM_00108	gene	1020				
FCDJCBPM_00109	gene	588	yajL_1			
FCDJCBPM_00110	gene	357				
FCDJCBPM_00111	gene	1527				
FCDJCBPM_00112	gene	393	fosB			
FCDJCBPM_00113	gene	519				
FCDJCBPM_00114	gene	600				
FCDJCBPM_00115	gene	93				
FCDJCBPM_00116	gene	1209	sbnD_1			
FCDJCBPM_00117	gene	609				
FCDJCBPM_00118	gene	459	ohrR_1			
FCDJCBPM_00119	gene	432	ohrB			
FCDJCBPM_00120	gene	1704	eptB			
FCDJCBPM_00121	gene	77				
FCDJCBPM_00122	gene	345	flhD_1			
FCDJCBPM_00123	gene	573	flhC_1			
FCDJCBPM_00124	gene	897	motA_1			
FCDJCBPM_00125	gene	1242				
FCDJCBPM_00126	gene	1164	flhB_1			
FCDJCBPM_00127	gene	2097	flhA_1			
FCDJCBPM_00128	gene	444	flgN_1			
FCDJCBPM_00129	gene	276				
FCDJCBPM_00130	gene	717	flgA			
FCDJCBPM_00131	gene	414	flgB_1			
FCDJCBPM_00132	gene	405	flgC_1			
FCDJCBPM_00133	gene	819				
FCDJCBPM_00134	gene	1227	flgE_1			
FCDJCBPM_00135	gene	759	flgF_1			
FCDJCBPM_00136	gene	783	flgG_1			
FCDJCBPM_00137	gene	753	flgH_1			
FCDJCBPM_00138	gene	1119	flgI_1			
FCDJCBPM_00139	gene	951	flgJ_1			
FCDJCBPM_00140	gene	1671	flgK_1			
FCDJCBPM_00141	gene	939	flgL_1			
FCDJCBPM_00142	gene	789	fliR_1			
FCDJCBPM_00143	gene	270	fliQ_1			
FCDJCBPM_00144	gene	804	fliP_1			
FCDJCBPM_00145	gene	375				
FCDJCBPM_00146	gene	405				
FCDJCBPM_00147	gene	1014	fliM_1			
FCDJCBPM_00148	gene	489				
FCDJCBPM_00149	gene	1248				
FCDJCBPM_00150	gene	450	fliJ_1			
FCDJCBPM_00151	gene	1377	fliI_1			
FCDJCBPM_00152	gene	714	fliH_1			
FCDJCBPM_00153	gene	990	fliG_1			
FCDJCBPM_00154	gene	1710	fliF_1			
FCDJCBPM_00155	gene	324	fliE_1			
FCDJCBPM_00156	gene	153				
FCDJCBPM_00157	gene	342	fliT_1			
FCDJCBPM_00158	gene	390	fliS_1			
FCDJCBPM_00159	gene	1446	fliD_1			
FCDJCBPM_00160	gene	1293	fliC_1			
FCDJCBPM_00161	gene	1263	fliC_2			
FCDJCBPM_00162	gene	726	fliA_1			
FCDJCBPM_00163	gene	1608	dppA_1			
FCDJCBPM_00164	gene	1020	dppB_1			
FCDJCBPM_00165	gene	906	dppC_1			
FCDJCBPM_00166	gene	981	dppD_1			
FCDJCBPM_00167	gene	1011	oppF_1			
FCDJCBPM_00168	gene	789				
